name,./PT_SingleStack_Ordered
density,---
donor_anisotropy,---
donor_mobility,---
donor_mobility_rSquared,---
acceptor_anisotropy,---
acceptor_mobility,---
acceptor_mobility_rSquared,---
donor_intra_mol_hops,---
donor_intra_mol_proportion,---
donor_intra_stack_hops,---
donor_intra_stack_proportion,---
donor_inter_mol_hops,---
donor_inter_mol_proportion,---
donor_inter_stack_hops,---
donor_inter_stack_proportion,---
acceptor_intra_mol_hops,---
acceptor_intra_mol_proportion,---
acceptor_intra_stack_hops,---
acceptor_intra_stack_proportion,---
acceptor_inter_mol_hops,---
acceptor_inter_mol_proportion,---
acceptor_inter_stack_hops,---
acceptor_inter_stack_proportion,---
donor_frontierMO_mean,-5.2
donor_frontierMO_std,9.94987437104e-06
donor_frontierMO_err,7.03562363972e-07
donor_deltaEij_mean,---
donor_deltaEij_std,---
donor_deltaEij_err,---
acceptor_frontierMO_mean,---
acceptor_frontierMO_std,---
acceptor_frontierMO_err,---
acceptor_deltaEij_mean,---
acceptor_deltaEij_std,---
acceptor_deltaEij_err,---
hole_anisotropy,0.0574846579615
hole_mobility,4.91337858415
hole_mobility_rSquared,0.999976380879
donor_delta_Eij_mean,0.0
donor_delta_Eij_std,1.35952602995e-05
donor_delta_Eij_err,2.42695127656e-07
donor_intra_stackhops,1.0
donor_inter_molhops,1.0
